#       time                file                area                mass    irreducible mass                spin      dimless spin-x      dimless spin-y      dimless spin-z  dimless spin-z-alt     linear mom. |P|      linear mom. Px      linear mom. Py      linear mom. Pz            origin_x            origin_y            origin_z            center_x            center_y            center_z
 110.0000000    5.5000000000e+01    1.2542667624e+01    4.9952822150e-01    4.9952822141e-01    1.8909817215e-05   -2.4420701543e-05   -1.9165986166e-05   -2.1663842451e-05    0.0000000000e+00    7.9595783127e-02    5.0252132087e-02   -6.1726914003e-02   -1.5893198637e-08    2.5120763897e+02    2.5242264698e+02    0.0000000000e+00    2.5119558585e+02    2.5243838437e+02    5.1705861814e-13
 112.0000000    5.6000000000e+01    1.2542978321e+01    4.9953440843e-01    4.9953440834e-01    1.9325024866e-05   -2.3658469290e-05   -2.0251794222e-05   -2.2951120854e-05    0.0000000000e+00    7.9749151027e-02    5.2903108901e-02   -5.9675691518e-02   -1.6309938579e-08    2.5136369267e+02    2.5222157706e+02    0.0000000000e+00    2.5135097696e+02    2.5223678456e+02    5.5772053642e-13
 114.0000000    5.7000000000e+01    1.2543226517e+01    4.9953935071e-01    4.9953935061e-01    2.0074737193e-05   -2.2776453498e-05   -2.1268506990e-05   -2.5373971111e-05    0.0000000000e+00    7.9891289562e-02    5.5488992741e-02   -5.7476863454e-02   -1.9307400141e-08    2.5152829032e+02    2.5202718061e+02    0.0000000000e+00    2.5151496954e+02    2.5204178348e+02    6.4395710986e-13
 116.0000000    5.8000000000e+01    1.2543599481e+01    4.9954677740e-01    4.9954677728e-01    2.1957872660e-05   -2.1862108168e-05   -2.2210451598e-05   -3.0997384404e-05    0.0000000000e+00    7.9870428769e-02    5.7874727251e-02   -5.5043631215e-02   -1.7717360750e-08    2.5170105407e+02    2.5183993580e+02    0.0000000000e+00    2.5168717157e+02    2.5185389904e+02    6.5691896367e-13
 118.0000000    5.9000000000e+01    1.2543926948e+01    4.9955329806e-01    4.9955329790e-01    2.4830446405e-05   -2.0874567118e-05   -2.3117069587e-05   -3.8735905325e-05    0.0000000000e+00    7.9816883706e-02    6.0128660318e-02   -5.2490752831e-02   -1.6205935901e-08    2.5188161572e+02    2.5166028855e+02    0.0000000000e+00    2.5186719466e+02    2.5167357455e+02    6.4875882444e-13
 120.0000000    6.0000000000e+01    1.2544105766e+01    4.9955685872e-01    4.9955685853e-01    2.7244867755e-05   -1.9879145251e-05   -2.4002729795e-05   -4.4755891300e-05    0.0000000000e+00    7.9825263777e-02    6.2321664239e-02   -4.9880686679e-02   -1.6255047030e-08    2.5206966824e+02    2.5148851533e+02    0.0000000000e+00    2.5205473054e+02    2.5150112313e+02    6.6735506010e-13
 122.0000000    6.1000000000e+01    1.2544342826e+01    4.9956157909e-01    4.9956157886e-01    3.0358750607e-05   -1.8694934520e-05   -2.4699866190e-05   -5.2282928925e-05    0.0000000000e+00    7.9876474723e-02    6.4440562094e-02   -4.7198147964e-02   -2.9769839160e-08    2.5226485302e+02    2.5132503455e+02    0.0000000000e+00    2.5224951318e+02    2.5133683808e+02   -2.1066481892e-14
 124.0000000    6.2000000000e+01    1.2544605784e+01    4.9956681512e-01    4.9956681480e-01    3.5444526095e-05   -1.7763874621e-05   -2.5628502226e-05   -6.3730692324e-05    0.0000000000e+00    7.9927186202e-02    6.6425500891e-02   -4.4452310690e-02   -1.7370966532e-08    2.5246709248e+02    2.5116982887e+02    0.0000000000e+00    2.5245120360e+02    2.5118098554e+02    3.4888758549e-14
 126.0000000    6.3000000000e+01    1.2544845648e+01    4.9957159126e-01    4.9957159087e-01    3.9442695696e-05   -1.6682108515e-05   -2.6385822425e-05   -7.2519501614e-05    0.0000000000e+00    7.9943192332e-02    6.8262850960e-02   -4.1606455977e-02   -1.5580529727e-08    2.5267573296e+02    2.5102342978e+02    0.0000000000e+00    2.5265941269e+02    2.5103385515e+02    5.5205839899e-14
 128.0000000    6.4000000000e+01    1.2545051634e+01    4.9957569281e-01    4.9957569232e-01    4.4334119456e-05   -1.5531330484e-05   -2.7084524252e-05   -8.3069992321e-05    0.0000000000e+00    7.9943409227e-02    6.9978940682e-02   -3.8650957814e-02   -1.4628637177e-08    2.5289047237e+02    2.5088611491e+02    0.0000000000e+00    2.5287375932e+02    2.5089576369e+02    2.6367796835e-15
